WKT,OBJECTID,LAENGE,RANG_SUB,SE_ANNO_CAD_DATA
"LINESTRING (16.2745404982925 48.1576135336751,16.2761514038302 48.1593673414112,16.2777724526943 48.161170595191,16.2792410841852 48.1628441361715,16.279137037578 48.1629070214825)",1963822,689.1,G,
"LINESTRING (16.2800059948107 48.1583895007681,16.2772946503892 48.1574681338829,16.2759643145983 48.1570454354605,16.2759636630398 48.1570451509311)",1963823,335.87,B,
"LINESTRING (16.2759636630398 48.1570451509311,16.2741284476074 48.1562435532059,16.2732506996673 48.1558521168099,16.2729292498605 48.1558200709352)",1963824,265.72,B,
"LINESTRING (16.3227198646845 48.1903783443847,16.3203887756251 48.1907885815468,16.317578080194 48.1916474418175,16.316809431516 48.192032703653,16.3164679003623 48.1921968255289)",1963825,511.67,E,
"LINESTRING (16.3589456018039 48.1663992113288,16.3587929842056 48.1665359160725,16.3571077207768 48.1704245750899,16.3570903082451 48.1713406758921)",1963826,571.05,E,
"LINESTRING (16.3589456018039 48.1663992113288,16.3636050589792 48.1656585007135)",1963827,356.25,E,
"LINESTRING (16.2938256036719 48.1474585699542,16.2923084668296 48.1477169262478,16.2905278762048 48.1480647361883,16.2886631046014 48.1477397937248)",1963828,397.91,G,
"LINESTRING (16.2978118815303 48.1331476242176,16.2929345232067 48.1337029921559,16.2892890057672 48.134200188883,16.2885647554355 48.1343639451541,16.2881190356389 48.1344905289818,16.2881297368176 48.1349603264349,16.2881517608218 48.1352362448647,16.2882963477056 48.1354898434355,16.2884409373553 48.1357434427135,16.2885298328519 48.135989560572,16.2884627949959 48.136198330117)",1963829,933.34,E,
"LINESTRING (16.3299989019253 48.1605138303082,16.3243532495156 48.1615731178571)",1963830,436.2,E,
"LINESTRING (16.2893926776678 48.1705858455498,16.2905762772981 48.1709021898729,16.2913917951917 48.1709468623363,16.2937789519337 48.1707526161216,16.2963113670699 48.1705171923134)",1963831,524.7,G,
"LINESTRING (16.2840797183385 48.1798208043675,16.284611866039 48.1804302460486,16.285532459485 48.1813467510388,16.2861296484131 48.1819133270717,16.2865527781898 48.1821966676819,16.2874739594183 48.1825634998065,16.2883455106945 48.1827470851107,16.2899144368273 48.1829476018122,16.2924548471822 48.1830152207782,16.2938237752231 48.1841483608871)",1963832,940.34,G,
"LINESTRING (16.3589536080913 48.1395864742874,16.3538823862515 48.140610504049,16.3525108813182 48.1405820216288,16.3510251083022 48.140620472332,16.3492537220834 48.1411274728645)",1963833,750.38,E,
"LINESTRING (16.4118918916423 48.2821974285435,16.410588864981 48.2800710071202)",1963834,255.46,E,
"LINESTRING (16.3878349118016 48.2774891734966,16.3856435392647 48.2786855129261,16.3838947148856 48.2795325122352)",1963835,370.5,E,
"LINESTRING (16.4351709551342 48.2446179767921,16.437512246719 48.2435736159309)",1963836,212.66,G,
"LINESTRING (16.4386292149542 48.2002811935685,16.4404614240507 48.1989720217623)",1963837,199.36,E,
"LINESTRING (16.3170883319146 48.1401294994281,16.31708342381 48.1386724445477)",1963838,162.02,G,
"LINESTRING (16.3186673926592 48.157866700492,16.318950546355 48.157669733257,16.3199427391761 48.1540864375498)",1963839,445.27,E,
"LINESTRING (16.4209854989546 48.2982525534309,16.4156784172171 48.2987960258388)",1963840,398.37,E,
"LINESTRING (16.397370315255 48.1751730164649,16.3969835880749 48.1752133857823)",1963841,29.11,G,
"LINESTRING (16.407398087319 48.1746311265937,16.4065427987024 48.174710682033,16.3992470504714 48.175024881342,16.3973658687342 48.1751730188336)",1963842,748.83,G,
"LINESTRING (16.4133559430605 48.1779138514577,16.4143610529617 48.1780955589364,16.4157130764664 48.1783782012404,16.4169317531096 48.1787147560294,16.417768698693 48.1788622937152,16.4186731602503 48.1789069100637,16.4194959294536 48.1790016917459,16.4208092728016 48.1792378689839)",1963843,618.39,E,
"LINESTRING (16.4544972268684 48.1715358147221,16.4538657018015 48.1717146992578,16.4531787399909 48.1718373604365,16.4525900373901 48.1719974451558,16.4519451658937 48.1721294380942,16.4514548866809 48.1724019956414,16.4505161389831 48.172834484084,16.4494512686246 48.1733233772408,16.4490171080708 48.1736146325658,16.448527373252 48.174149859792,16.4483847731077 48.1743342398538,16.4479115977805 48.1747790226454,16.4474914847885 48.1750890202374,16.4470152802226 48.1754084530767,16.4463568677988 48.1757937285536,16.4458522182767 48.1759349344566,16.4449964454967 48.1758606956213,16.4439582942615 48.1757678589642,16.4425974408336 48.1756284033451,16.4420358460227 48.1753662402913,16.4399609943974 48.1758841166626,16.4395600625574 48.1758903264155,16.434928044973 48.1772113473378,16.4340166235817 48.1773809945482,16.4314856126504 48.1780268141595)",1963844,1967.54,G,
"LINESTRING (16.3434202338703 48.1426968041057,16.3409690247573 48.1438327566331,16.340800155622 48.1439354772304)",1963845,238.86,E,
"LINESTRING (16.3328728622563 48.2408411598432,16.3329787690474 48.2436003760148)",1963846,306.91,E,
"LINESTRING (16.2837723739208 48.1682268179801,16.2840655514661 48.1682088593635)",1963847,21.9,G,
"LINESTRING (16.3818239387023 48.1542315416341,16.3817109062309 48.154241348741,16.3808400956265 48.153786466706,16.3799597758187 48.1538939168923,16.379266122162 48.1540519677154)",1963848,211.78,E,
"LINESTRING (16.2272724031991 48.2078283622529,16.22437761647 48.2105761703972)",1963849,373.69,E,
"LINESTRING (16.284318276127 48.1473284451989,16.2842685661379 48.1472533231917)",1963850,9.14,G,
"LINESTRING (16.2977641341117 48.1859357117182,16.2975431066131 48.1858581887196,16.2963517974848 48.1853693885979,16.296171716982 48.1853005106428)",1963851,137.91,G,
"LINESTRING (16.3296372074917 48.1960085951023,16.3304888826143 48.1946343110762,16.3300548229106 48.1938924876858,16.3295885512205 48.1936774471487,16.3300067935699 48.1921401110995,16.3301232404262 48.191575208316)",1963852,533.25,G,
"LINESTRING (16.2759042925241 48.1773718166611,16.2729407652144 48.1775864347452)",1963853,221.68,G,
"LINESTRING (16.2833873260966 48.1771116132246,16.2837413102037 48.1771358545805)",1963854,26.46,G,
"LINESTRING (16.4384532854453 48.2744836185799,16.4391517476967 48.2729264255818,16.4391514984801 48.2728024511535,16.4396861822846 48.2719065996433,16.4399739699865 48.2713691162207,16.440549415055 48.2702390490074,16.4409606460109 48.2695361526691,16.4409599698484 48.2692055534116,16.4402315219479 48.2661068478361)",1963855,967.41,E,
"LINESTRING (16.275068523257 48.1498005945089,16.2739964796992 48.1479537807335,16.2741930922524 48.1468755513617,16.2742834592986 48.1462252905291)",1963856,413.7,E,
"LINESTRING (16.2907396499046 48.2344917191974,16.2906454503566 48.2347543241665,16.2906183283401 48.2348514631463,16.2906027928331 48.2349497308537,16.290598938678 48.2350485112982,16.2906067920672 48.23514718666)",1963857,73.99,B,
"LINESTRING (16.3839910687018 48.2117276650075,16.3853866843431 48.2120379395187,16.3862507655176 48.2123533663892,16.3865451142309 48.212483305645)",1963858,208.7,E,
"LINESTRING (16.2800396260241 48.1899969761068,16.2800031364979 48.1899236003619,16.2797862889419 48.1873447837627)",1963859,295.8,G,
"LINESTRING (16.298125590975 48.1295125335822,16.2981171504418 48.1292796058753,16.2981107409275 48.1289924084915,16.2981360441128 48.1288967015901,16.2981950051446 48.1287756697456,16.2982413800876 48.1286124054662,16.298266733965 48.1284435053042,16.2983132123519 48.1281422983815,16.2983301777968 48.1279424277419,16.2983343962074 48.1279255378262)",1963860,178,B,
"LINESTRING (16.3440070108855 48.2119951220144,16.3440257559298 48.2119882283296,16.3440453367258 48.2119824686285,16.344065603926 48.2119778869878,16.3440863960723 48.2119745202903,16.3441075530505 48.211972393728,16.3441289066719 48.2119715252988,16.344150292783 48.2119719204099,16.3441715431919 48.2119735763752,16.3441924910511 48.2119764806158,16.3442129748934 48.2119806106603,16.3442328305587 48.2119859332456,16.3442519073409 48.2119924070138,16.3442700518411 48.2119999825136,16.3442871254595 48.2120085986014,16.3443029936317 48.2120181896367,16.3446011440227 48.2121618706232,16.3449024697261 48.2123025612466,16.3452069034324 48.2124402309105,16.3453123573154 48.2124406748965)",1963861,113.65,E,
"LINESTRING (16.4086066301216 48.1865299951947,16.4088501746169 48.186390834459)",1963862,23.82,E,
"LINESTRING (16.4115941945516 48.2995826266364,16.4096654995849 48.2999288297499,16.4082832399332 48.300182711966,16.4074290882898 48.300349230771,16.4039843789773 48.3005511858361,16.3925948016565 48.2949942487504)",1963863,1623.99,E,
"LINESTRING (16.4278584324361 48.2465541966347,16.4277361539888 48.246448274642,16.4274761503103 48.246348009891,16.4261219932741 48.2461572679332,16.4247541547967 48.2459573871137,16.4243711963517 48.2459211469174,16.4237013457883 48.2460495318783,16.4231133720684 48.2460773794281,16.4216089064781 48.2459415013479,16.4205967569991 48.2458143755443,16.4184772637302 48.2458798498346,16.4184085357285 48.2458038321747)",1963864,724.91,E,
"LINESTRING (16.4184085357285 48.2458038321747,16.4155766442381 48.2426713642512)",1963865,406.9,E,
"LINESTRING (16.4140206724849 48.2533247607447,16.4139591254169 48.2531245636404,16.4130678862482 48.2520129957248)",1963866,162.93,E,
"LINESTRING (16.4130678862482 48.2520129957248,16.412997478656 48.2519251779199,16.4105961872987 48.2490469801297)",1963867,377.45,E,
"LINESTRING (16.5050867295098 48.2413016590095,16.5001741782394 48.2421364446275,16.4963200292214 48.2427743718218,16.4930432176315 48.2433508449152)",1963868,923.12,E,
"LINESTRING (16.5067931462602 48.2511187280982,16.5067826211908 48.2510356793282)",1963869,9.27,E,
"LINESTRING (16.389515931505 48.2964953022567,16.3890000886825 48.2957247371883)",1963870,93.84,E,
"LINESTRING (16.3890000886825 48.2957247371883,16.388695703481 48.2952700317536,16.3880755572291 48.2937495505412,16.3874884209942 48.2926418299855,16.3869180069816 48.2919577398771,16.386249239811 48.2910892199074,16.3859312232489 48.290710981881)",1963871,605.11,E,
"LINESTRING (16.3931632590787 48.2661520240004,16.3913970649949 48.2700924377376,16.3913968607334 48.2700928946864,16.391389243006 48.2701090805728,16.389919419376 48.2732317482772)",1963872,823.26,E,
"LINESTRING (16.3878349118016 48.2774891734966,16.3898862509031 48.2732250468271,16.389919419376 48.2732317482772)",1963873,500.58,E,
"LINESTRING (16.3179147898258 48.1615849276531,16.3175491997125 48.1616709178555)",1963874,28.83,E,
"LINESTRING (16.4086394400645 48.2765091329627,16.4059191952046 48.2716055832274)",1963875,581.44,E,
"LINESTRING (16.4476023551955 48.2878642988436,16.4483606721577 48.2880806708448,16.4571048397299 48.2839065844778)",1963876,859.03,E,
"LINESTRING (16.4608420141577 48.2820742520887,16.461082156102 48.2817866814623,16.4607753046233 48.2807670054475,16.4603681388857 48.2797297285185)",1963877,271.49,E,
"LINESTRING (16.4379793022909 48.2595254254681,16.4384312700908 48.2596374304309,16.4386510250345 48.2595916754687,16.4408815882688 48.2604552908651,16.4413358395844 48.2601562095116,16.4417673721985 48.2598723348352,16.4422368682643 48.259618795135,16.443157945719 48.2592604147249,16.4468536402759 48.2580446004482,16.448907012551 48.2573611233985)",1963878,936.93,E,
"LINESTRING (16.3363260733943 48.1497437576556,16.3357107418325 48.1497448847963,16.3337800001353 48.1502090575316,16.3313094795043 48.1506233921397)",1963879,387.95,E,
"LINESTRING (16.4043144050612 48.2572883329897,16.4048304781662 48.2575911675909)",1963880,,G,
"LINESTRING (16.4759345926188 48.2486459210309,16.479069061997 48.2472570595192)",1963881,279.36,E,
"LINESTRING (16.4976285502953 48.2512312411273,16.4977235406816 48.2545499868043)",1963882,369.1,G,
"LINESTRING (16.4916157623447 48.2404625392028,16.4925476888809 48.2425947602217,16.4953503309737 48.2468707629879,16.4970998363652 48.2481056387181,16.4975661919958 48.2491281475185,16.4976285502953 48.2512312411273)",1963883,1307.84,G,
"LINESTRING (16.4823656453185 48.2844579761623,16.4835373985157 48.2846953001531,16.4840581248645 48.2847814752172,16.4847738422835 48.284802263513,16.4851315433326 48.284758378324,16.4859428829089 48.284105996068,16.4878140840702 48.2827549453411)",1963884,509.71,E,
"LINESTRING (16.4938296689601 48.2782986313799,16.4946092114077 48.2779501836575,16.4956817381201 48.2776881692177,16.4969821349335 48.2774909597928,16.4983803039514 48.2773587294866,16.499378013383 48.2773239017993)",1963885,432.36,E,
"LINESTRING (16.4270511989664 48.2967373556823,16.4290907547757 48.296636137596,16.4322356536721 48.2964836486758,16.4350560654556 48.2963480094139,16.4378265400955 48.2962123451493,16.4388749589232 48.2962280684843,16.4400232239629 48.2962436939069,16.4403354484585 48.2962553380584)",1963886,987.86,E,
"LINESTRING (16.3142858956072 48.1655702446372,16.3141223063202 48.1656440824895)",1963887,14.68,E,
"LINESTRING (16.3661455268841 48.1794605773303,16.3660527880444 48.1788282220441)",1963888,70.65,G,
"LINESTRING (16.4435348688499 48.2337532233228,16.4375975946568 48.2362662885354)",1963889,522.13,E,
"LINESTRING (16.4679494596209 48.23519755934,16.4671726291622 48.2347836998278)",1963890,73.81,E,
"LINESTRING (16.4889686983808 48.2398312304567,16.4863376106815 48.239266949612,16.4856515068922 48.2391221031697)",1963891,244.44,E,
"LINESTRING (16.4890108151429 48.2370510421775,16.4915900977947 48.2404038125155,16.4916157623447 48.2404625392028)",1963892,425.97,G,
"LINESTRING (16.3677507446648 48.1815280067906,16.3675387741228 48.1808086569576)",1963893,81.53,G,
"CIRCULARSTRING (16.3536890083448 48.1908608432159,16.3544500912636 48.191884962881,16.3548465606942 48.1929974008886)",1963894,254.87,B,8C0300000108000081BFCF83A3039B9E96F7F608A2D30C82A814AAF70B84DF14BB990BB592159BBA0A93C31594D90999F015AAF608859A16A8920892C01694AD07BDE216B7C60685821797DF05A79D17BFF6049FB517B48D04ADC91781A40390DA17B001320000200070A301FC099940E0B5843C63B314410060EE5A02629A404008AC9C19B714410100000002000000000000000070A301FC099940E0B5843C63B314410060EE5A02629A404008AC9C19B71441010000000000000001000000AAFC30D338EC994075669ACB2AB514419E0100000E0000000400
"LINESTRING (16.4975620198427 48.2351627917739,16.5004347003907 48.2346192037403,16.5037127834917 48.2348103712089,16.5037737362777 48.2348139254933,16.5037732698163 48.2348133002479)",1963895,470.86,E,
"LINESTRING (16.503773028533 48.2348164976759,16.5115246397746 48.2351317782104)",1963896,576.91,E,
"LINESTRING (16.5115246397746 48.2351317782104,16.5196215362142 48.2354548529427)",1963897,602.56,E,
"LINESTRING (16.279137037578 48.1629070214825,16.2794477950317 48.1632354078098)",1963898,43.22,G,
"LINESTRING (16.4013578475371 48.1905415899153,16.4013493904064 48.1905427377552,16.4013409170591 48.1905438253489,16.4013324261514 48.1905448535964,16.4012702102903 48.1905472019288,16.4012079160858 48.1905482282644,16.4011456040691 48.1905479343674,16.401122327965 48.1905501760552,16.4010994152978 48.1905537143592,16.4010770274329 48.1905585249068,16.4010553216883 48.190564573435,16.4010344499911 48.190571816691,16.4010145602269 48.1905802060282,16.4009957921944 48.1905896793146,16.4009782789648 48.1906001717246,16.400962141493 48.1906116094457,16.4009474966906 48.1906239114734,16.4009344439777 48.1906369914171)",1963899,35.06,G,
"LINESTRING (16.3774191690883 48.21786257831,16.376886957339 48.2191822960398)",1963900,151.98,E,
"LINESTRING (16.4013137951493 48.1904533911362,16.4012026238011 48.1904506599131,16.4010914581073 48.1904534576284,16.4009809099803 48.1904617704469,16.4009569727955 48.1904687672045,16.4009340110501 48.1904770971059,16.4009121874094 48.1904866998054,16.4008916631827 48.1904975059647,16.4008725835284 48.1905094372614,16.4008550855268 48.1905224081834,16.4008392981794 48.1905363260281,16.4008253343361 48.1905510882098)",1963901,40.36,G,
"LINESTRING (16.2858562781636 48.1699333404505,16.2862935289692 48.1699355795321,16.2867136588723 48.1699722448627)",1963902,64.04,G,
"LINESTRING (16.2870926111938 48.1967988470088,16.2862567740496 48.1945719805913)",1963903,255.29,E,
"LINESTRING (16.4589926743433 48.2776937989277,16.4592098669111 48.2777586840103,16.4603654528346 48.2797310489109)",1963904,253.16,E,
"LINESTRING (16.4692759830216 48.2304417484577,16.4684308803955 48.2302820660823,16.4677310873418 48.2299382268321,16.4671156234889 48.2295050001919,16.4648338410385 48.2274692344591,16.463396590007 48.2261452268944)",1963905,660.88,E,
"LINESTRING (16.463396590007 48.2261452268944,16.4618138186107 48.2246870657402,16.461597237776 48.2246519023675,16.4613754868933 48.2244321381806,16.4610791603531 48.2242635638622,16.4603777421064 48.2231244002148,16.4597903611117 48.2229167770607,16.4590325043318 48.221745695707,16.4589488635692 48.2216193757559,16.4587557396221 48.2215840380641)",1963906,633.71,E,
"LINESTRING (16.3808214762812 48.2284636464776,16.3833638154008 48.2253732848046)",1963907,392.13,E,
"LINESTRING (16.4640093654594 48.2259959533481,16.4696096371106 48.223969942217,16.4721395386307 48.2231184196379)",1963908,683.65,B,
"LINESTRING (16.4754151008883 48.2219763098294,16.4813483645459 48.2198128729336)",1963909,502.24,B,
"LINESTRING (16.4488910292016 48.2051850181231,16.4453500151392 48.2025826037694)",1963910,391.17,G,
"LINESTRING (16.4453500151392 48.2025826037694,16.4420793663322 48.2001785583769)",1963911,361.34,G,
"LINESTRING (16.4420793663322 48.2001785583769,16.4413049473272 48.1996092845479,16.4404614240507 48.1989720217623)",1963912,180.18,G,
"LINESTRING (16.4312817551848 48.1655650910304,16.4308662298972 48.1656781596945,16.4298236264693 48.1660011016007,16.4287780417404 48.1664256210016,16.4268936542034 48.1674494630261,16.4247891663753 48.1686300178884,16.4234508285729 48.1691989464995)",1963913,712.63,E,
"LINESTRING (16.3612390607048 48.1481042377361,16.3616358214222 48.1478600574463,16.3652529136341 48.1469904257648,16.3715767522825 48.1454173184454,16.3723254645295 48.1452580922551)",1963914,886.62,E,
"LINESTRING (16.3723254645295 48.1452580922551,16.3748325270894 48.1447248818042,16.3805300996042 48.1437171703282,16.3815769022522 48.1435368813104)",1963915,714.76,E,
"LINESTRING (16.363906032423 48.1526921868357,16.3634777390171 48.1525514480314,16.3612390607048 48.1481042377361,16.3611915644029 48.1470830958306)",1963916,670.91,G,
"LINESTRING (16.3611915644029 48.1470830958306,16.3612017550779 48.1468905260251,16.3614854704899 48.1454056634881)",1963917,187.88,G,
"LINESTRING (16.3608916457369 48.1442512026849,16.3600581655206 48.1422747855101,16.3586886318013 48.139637454904)",1963918,538.81,G,
"LINESTRING (16.3587489794333 48.1397787201285,16.3564850706463 48.134359855998)",1963919,625.66,G,
"LINESTRING (16.3989843145314 48.1365371054296,16.395362011624 48.1265176883613)",1963920,1146.26,E,
"LINESTRING (16.5138123147768 48.2253978263091,16.5108516075848 48.2258032245339)",1963921,224.55,E,
"LINESTRING (16.4968115518228 48.2262554472613,16.5005203990778 48.2273251275529)",1963922,300.14,G,
"LINESTRING (16.4989857948069 48.2341590784374,16.4988833462026 48.2349127721153)",1963923,84.15,E,
"LINESTRING (16.4768524392333 48.2237870957882,16.4788759842437 48.2284446066756,16.4847934435837 48.2273788520055)",1963924,994.61,E,
"LINESTRING (16.4813311909683 48.1682672707478,16.4817716015495 48.1675902332453,16.4821610435126 48.1668993614056,16.4824985542023 48.1661963692898,16.4827506304354 48.1658235487146,16.4830466561916 48.1654654779516,16.4833847164052 48.1651244721914,16.483664528637 48.164804555711,16.4839845710886 48.1645019924082,16.4843424556876 48.1642190387479,16.484463563537 48.1641427354319,16.4845739652139 48.1640594805085,16.4846727713909 48.1639699415605,16.484759187016 48.1638748400082,16.4848325180042 48.1637749412071,16.4848921725617 48.1636710481496)",1963925,580.82,G,
"LINESTRING (16.3545182126575 48.2147860457676,16.3509805231209 48.2149848789586)",1963926,263.83,B,
"LINESTRING (16.2696167593554 48.2383924901084,16.2701778956952 48.2387591070787,16.2703242244552 48.2388189145781,16.2722754528182 48.2394719117988,16.2759222401566 48.2400874373726,16.2763053062608 48.2401072793)",1963927,541.09,G,
"LINESTRING (16.3416627150561 48.2424987042807,16.3411786014743 48.2405041714675)",1963928,224.68,E,
"LINESTRING (16.3272707713483 48.2126574823323,16.3272689181541 48.2126673531401,16.3272128419838 48.2133875882094)",1963929,81.3,E,
"LINESTRING (16.3535609143448 48.2365475534618,16.3548398172502 48.2393574529163,16.3555651167884 48.2411641728025,16.3555145729896 48.2425626808722,16.3555138561563 48.2425825316083,16.3555130060704 48.2426060416861,16.355355512439 48.2438720899151,16.3554756416809 48.2444182039032)",1963930,897.59,G,
"LINESTRING (16.3652869706158 48.1739289383817,16.3653450818016 48.1739405591268)",1963931,4.51,G,
"LINESTRING (16.3988012922794 48.1735481086279,16.4005757232389 48.1728753586885,16.402425859706 48.1724727748152)",1963932,296.41,E,
"LINESTRING (16.306389241731 48.1936976224111,16.3060356810405 48.1958104969473)",1963933,236.41,E,
"LINESTRING (16.3535506574373 48.2332948583292,16.3543235783078 48.2331741715529,16.3543699760675 48.2332625527791)",1963934,69.38,E,
"LINESTRING (16.3479010310449 48.2339507007687,16.3501393824184 48.2337978625618)",1963935,167.15,E,
"LINESTRING (16.3501393824184 48.2337978625618,16.3518907835101 48.2337052830743,16.3531876058445 48.2333515455161,16.3535506574373 48.2332948583292)",1963936,262.27,E,
"LINESTRING (16.4008253343361 48.1905510882098,16.4000742948058 48.1913961209199)",1963937,109.3,G,
"LINESTRING (16.4065550978775 48.1750575971922,16.4065427987024 48.174710682033)",1963938,38.59,E,
"MULTILINESTRING ((16.3448140187287 48.2299853550203,16.3426110527247 48.2279332360454,16.3423204055409 48.2271594096791),(16.3423164330312 48.2271541012127,16.3420654218649 48.2251280157806))",1963939,595.59,E,
"LINESTRING (16.3331396658699 48.2370168091184,16.3326571472005 48.2368665016177,16.3319249399105 48.2366004419603,16.3311028264228 48.2362485554514,16.3308973049122 48.2360940740932,16.3302293573368 48.2357421882205,16.3295357405206 48.235278734812,16.3285981153333 48.2344977339075,16.3273476848771 48.2349358593946,16.3285808133825 48.2318813898566,16.3285830888791 48.2318495226625,16.3285876154078 48.2317598546303)",1963940,936.6,G,
"LINESTRING (16.3161540968188 48.2234180331456,16.3205935420316 48.2218348359514)",1963941,373.9,E,
"LINESTRING (16.2550608780809 48.210154624197,16.255063343774 48.2102837271788)",1963942,14.36,G,
"LINESTRING (16.3227071624827 48.2210578424235,16.3237516971118 48.2206653623789,16.3254442953859 48.2198945027663)",1963943,241.25,E,
"LINESTRING (16.3254442953859 48.2198945027663,16.3265669062089 48.2193832067929)",1963944,100.95,E,
"LINESTRING (16.4605165066003 48.2461225544668,16.4610124315168 48.2460222171085)",1963945,,E,
"LINESTRING (16.3437373135842 48.2159970182845,16.3438859701151 48.2159622343175,16.3463732065203 48.2153040641591)",1963946,210.5,B,
"LINESTRING (16.5048708053989 48.2322395983247,16.5045170932 48.2329382092952,16.5043328799684 48.233326600488)",1963947,127.31,E,
"LINESTRING (16.3412796811054 48.2151723784703,16.343805027871 48.2152762468112)",1963948,188.03,E,
"LINESTRING (16.3265669062089 48.2193832067929,16.3280037961672 48.2187287398692,16.329477543152 48.2183244093266,16.3309775573487 48.2181662329333,16.3322538743797 48.218099895224,16.3327671492147 48.2178811031218)",1963949,500.82,E,
"LINESTRING (16.3883785738263 48.2280438342105,16.3883149922473 48.2283963906893,16.3881235496759 48.2291968513532,16.3879907113431 48.2294571139237,16.3877247585333 48.2297042629185,16.3868917253727 48.2304377357328)",1963950,,E,
"LINESTRING (16.3218228344637 48.2135416955185,16.3189587738813 48.2134923614466)",1963951,212.92,E,
"LINESTRING (16.3189587738813 48.2134923614466,16.317987730958 48.2134490952522,16.3169373235549 48.213340422486,16.3159537697563 48.2132189878068,16.3156481844569 48.2132253162528,16.3146931965927 48.2133208784875,16.3141870423915 48.2133909912008,16.3123810686762 48.2136182208281)",1963952,495.12,E,
"LINESTRING (16.3057802666175 48.210874903064,16.3061223040071 48.2121488053176)",1963953,143.91,G,
"LINESTRING (16.374228321556 48.2425264659779,16.3774256510456 48.2438386565337,16.3789660114805 48.244480923451,16.3791500304432 48.24429522327,16.3801528741381 48.2446576404904)",1963954,523.04,E,
"LINESTRING (16.3652882387794 48.2547370117545,16.3668150581719 48.2547190373485,16.369000567299 48.2543315940384,16.3695520167311 48.2542886088108)",1963955,322.54,E,
"LINESTRING (16.3695520165119 48.2542882724671,16.3695839467061 48.2542857837712,16.3697625291949 48.2539986982752,16.3697995827678 48.2536386872048,16.3698179935175 48.2523751982428,16.3695384348232 48.2512608484671)",1963956,343.22,E,
"LINESTRING (16.3425748119308 48.2547003521126,16.348008261607 48.2538034300749,16.349691554812 48.2536324837612,16.3511093734989 48.2539479052562)",1963957,653.03,E,
"LINESTRING (16.3549635493786 48.2538507045023,16.3546218727846 48.2537717938198,16.3531471410391 48.2536841036066,16.3511093734989 48.2539479052562)",1963958,290.93,E,
"LINESTRING (16.3511093734989 48.2539479052562,16.3484772547722 48.2546998697875,16.3466874088325 48.2550131084829,16.3460695128652 48.2552835326046,16.3451746145731 48.255667817047,16.3442157396356 48.2558101888113,16.3433633771234 48.2557675551312)",1963959,620.26,E,
"LINESTRING (16.3549635495018 48.2538510399467,16.3553066143112 48.2539302704369,16.3583350888494 48.2540703945155,16.361310902438 48.2541928669724,16.3643518548177 48.2545534938079,16.3652876704913 48.2547370190932,16.3652882387794 48.2547370117545)",1963960,775.6,E,
"LINESTRING (16.4729241169532 48.2746818015001,16.472744076576 48.2748078481268,16.4727051232376 48.2750022221773,16.4728835842424 48.2753149112192,16.4729732928954 48.2756507603662,16.4730579913527 48.2759569722808,16.4731465495885 48.2761302783564,16.4724350777694 48.2763378710725,16.4722176555602 48.2764507961173,16.4713460238994 48.2770036049298,16.47106961767 48.2771860572426,16.4696669445701 48.2777998603011,16.4695284860141 48.2778000209947,16.4689964084468 48.2780379526222,16.4683934795014 48.2783120643361,16.4676433837023 48.2786486986041,16.4671409365687 48.2788795173349,16.4668359383866 48.2790429553589,16.4664728367322 48.2792497251931,16.4655221593918 48.279791109323,16.4647323581727 48.2802272509481,16.4643518211433 48.2804899715701,16.4641872070516 48.2805805330329,16.4640106106452 48.2805885895195,16.4622433758709 48.2801514165949,16.4616764036806 48.2800145035401,16.4615113752908 48.2799370748491,16.461300761181 48.2798763975492,16.4600582964716 48.2796131685936,16.4599235332134 48.2795856491355,16.4598068923995 48.2795272420808,16.4598181518636 48.279428991936,16.4598845036158 48.2792892377671,16.459914140754 48.2791817588856,16.4598564424115 48.2790958621284,16.4597593978505 48.2789056300053,16.4597219789488 48.2788367802983,16.4596438623432 48.2787897106456,16.459470095957 48.2787476547035,16.4591930357276 48.2786905430983)",1963961,,G,
"LINESTRING (16.3648488584106 48.2394169154304,16.3648675844282 48.2398246799953,16.3654229425222 48.2405659394686,16.3665892466317 48.2421225741379,16.3677177495458 48.2433536382024,16.3680166311029 48.2437315258221,16.3683627058277 48.2441618952144)",1963962,593.45,E,
"MULTILINESTRING ((16.3747537467778 48.230902572052,16.374778242482 48.2309085919525),(16.3747537467778 48.230902572052,16.374758812093 48.2308920699083,16.374778242482 48.2309085919525),(16.3747537467778 48.230902572052,16.3710025922581 48.2299127057344),(16.374778242482 48.2309085919525,16.3782914118414 48.2316659738352))",1963963,579.38,G,
"LINESTRING (16.3641097962588 48.2396649233529,16.3634399435563 48.2398709884339)",1963964,54.78,E,
"LINESTRING (16.3648488584106 48.2394169154304,16.3641097962588 48.2396649233529)",1963965,61.43,E,
"LINESTRING (16.361706997784 48.2255784040371,16.3615088313274 48.2232090946136,16.3614357207011 48.2230465074388)",1963966,282.74,E,
"LINESTRING (16.3614357207011 48.2230465074388,16.3612501201431 48.2226404621259,16.360984492269 48.2220587714718,16.360898774841 48.2220748653107,16.360984492269 48.2220587714718,16.3607372018365 48.2215172182657,16.3607376784245 48.2208183862985)",1963967,304.81,E,
"LINESTRING (16.3641870834511 48.218900184565,16.3647736221136 48.2180405063868,16.3649158416247 48.2176835530519,16.3653428429231 48.2172313479227,16.3660899934056 48.2165681207334,16.366188356427 48.2164907354945)",1963968,309.19,G,
