WKT,OBJECTID,LAENGE,RANG_SUB,SE_ANNO_CAD_DATA
"LINESTRING (16.2882492491377 48.2116832803917,16.2894298346065 48.2110265373254,16.2900898199978 48.2103695747591,16.2906576405466 48.209264108888,16.2909478331538 48.2081353359119,16.290659885674 48.2067279792454)",1963699,617.41,E,
"LINESTRING (16.3904536767691 48.2105816780892,16.3920271464735 48.2091685597286,16.393082485157 48.2083348434063,16.3946906890376 48.2057257510899)",1963700,631.09,E,
"LINESTRING (16.2797761758668 48.1999108203993,16.2787496496376 48.2001180005504,16.2779692992392 48.2003356214677,16.277463874651 48.2005747510241,16.276888005485 48.2009036116144,16.2766823551688 48.2009351886117,16.2762113383909 48.200816827867,16.2752693379856 48.2005564789726,16.2746453083607 48.2003514141708,16.2738446118614 48.200138375018,16.2729496445443 48.1999646499874,16.2719603869875 48.1998459876203,16.2709893260753 48.1997915414395)",1963701,873.11,E,
"LINESTRING (16.4387435327901 48.1974760815464,16.4385044866188 48.1965530865397,16.4384517620033 48.1956016063926,16.4386361971751 48.1926882581013)",1963702,534.27,G,
"LINESTRING (16.2906632876794 48.206731611155,16.2900299540179 48.2046901578026,16.2900307599761 48.2037920297566,16.2923292238269 48.2011801884632,16.2923785914358 48.2005760113634,16.2936264417944 48.1993685092938,16.2946797607084 48.1985378650426)",1963703,1020.21,E,
"LINESTRING (16.4079469302414 48.1952875598302,16.4074673390018 48.1956718221241,16.406763460567 48.1962504662847,16.4045965643087 48.196651528432,16.4036467175203 48.1969661799201,16.4026008944074 48.1973808155251,16.4010978498205 48.1979190530012,16.3999046685448 48.1987540226635,16.3997258643486 48.1987654001263)",1963704,743.44,E,
"LINESTRING (16.2717414633579 48.1987932394546,16.2724949399473 48.1985146627454,16.2740237817239 48.1979272881265,16.2757069717895 48.1973141763478,16.276576347942 48.1970470856708,16.2770541577351 48.1968143839447)",1963705,452.66,G,
"LINESTRING (16.2760133574324 48.1957790327882,16.2770541577351 48.1968143839447)",1963706,138.71,E,
"LINESTRING (16.3013094250664 48.18617196808,16.2986960998416 48.1864785146107)",1963707,197.28,E,
"LINESTRING (16.3149820501313 48.1711491239509,16.3144626401495 48.1728419261663,16.3138089643638 48.1753459736489)",1963708,474.8,E,
"LINESTRING (16.3215994290853 48.1700638978688,16.3216757236115 48.1701072164281,16.3236003260224 48.1711999378213,16.324558388416 48.1716300212874,16.3253103200182 48.1718572557344,16.3271897061316 48.1722167940578)",1963709,487.78,E,
"LINESTRING (16.3158587206913 48.1648879323909,16.3203384424096 48.1688954755501,16.3212114086681 48.1697717841847,16.3216115563833 48.17007201134)",1963710,718.24,E,
"LINESTRING (16.454666530166 48.1604617677484,16.4478989768585 48.1610078158138,16.4472988998818 48.1611195827253,16.445262824873 48.1621375907973,16.4442998759715 48.1624792811402,16.4401717451995 48.1634225390068,16.4374608960362 48.1640604679071,16.4324932518492 48.1652989147369,16.4312817551848 48.1655650910304)",1963711,1851.12,E,
"LINESTRING (16.3814931091206 48.161509469455,16.3807568337983 48.1616235776587,16.3805458027886 48.1622436381078,16.3771325649197 48.1632479513792,16.3741674409798 48.1639928794838,16.3722800928266 48.1644844141351)",1963712,790.6,E,
"LINESTRING (16.2905801993484 48.1539569885853,16.2880637213098 48.1546963168821,16.2848652924882 48.1555220750259,16.2821653301537 48.1560567913424,16.2803906281542 48.1561665269332)",1963713,801.65,E,
"LINESTRING (16.2769118878107 48.1492500657321,16.2798595069996 48.1533704152111,16.2803906281542 48.1561665269332)",1963714,821.36,E,
"LINESTRING (16.3969060802797 48.1483856867054,16.3961244500294 48.1483564913202,16.3929051934621 48.1494488678559)",1963715,326.84,E,
"LINESTRING (16.3606587943905 48.1392157670616,16.364900042819 48.1383722132519,16.3664612456247 48.1406980360102,16.3675498533357 48.1401357128792,16.3682310139328 48.1394688897883,16.3686220618553 48.1388657736516,16.3704006280993 48.1385538721441,16.371359009594 48.1385473635418,16.3731449453776 48.1385670616123,16.3736998629245 48.1385263612419,16.378129334906 48.1381098624669,16.3802404443652 48.1379507027915,16.3830976186481 48.1376450153231)",1963716,1967.11,E,
"LINESTRING (16.3254860100043 48.1378848331384,16.3255371233118 48.1377483406879,16.3359681262674 48.1354506316043,16.3366381711137 48.1372805112508)",1963717,1042.46,E,
"LINESTRING (16.3994925282835 48.1423346858114,16.3996303894646 48.1420683380952,16.3996696480639 48.1412554439393,16.3996399152988 48.1403526976936,16.3994867594986 48.1398588416963,16.3996229927266 48.1389313574094,16.3998477616263 48.1387852910841,16.3997296445065 48.1382206113583,16.3996957355026 48.1379287138014,16.3995441498674 48.1374235593807,16.3994096744176 48.1371934689509,16.3989843145314 48.1365371054296)",1963718,665.49,E,
"LINESTRING (16.3343689989574 48.246653974512,16.3371477398761 48.2465022949641,16.3378557817119 48.246386288243,16.3398516356073 48.2460703696998,16.3414994402523 48.2458324849204)",1963719,538.75,E,
"LINESTRING (16.2873484142316 48.1365557989663,16.2864568363501 48.1369058962355)",1963720,76.93,E,
"LINESTRING (16.425064811673 48.2796722758866,16.418939938375 48.2799041133694)",1963721,455.33,E,
"LINESTRING (16.3675897736094 48.2474572088558,16.3670666391638 48.2464724685671)",1963722,116.19,E,
"LINESTRING (16.2827233681787 48.1354600139158,16.2830159738509 48.1353756697291,16.2835169202522 48.1357338366772,16.2837492910303 48.1360218581219,16.2840957043585 48.1362411776376,16.2847084513739 48.1362190825193,16.2852922499276 48.1362074314786,16.2856189008529 48.1362606442733,16.2858289114063 48.1363903716888,16.2859740833172 48.1365701327267,16.2864568363501 48.1369058962355)",1963723,360.13,E,
"LINESTRING (16.2929933694102 48.1455369615586,16.2929928307337 48.1461797488933,16.2934250063683 48.1468650796624,16.2936780373024 48.1472112901833,16.2937729163424 48.1473525966963,16.2938256036719 48.1474585699542)",1963724,226.69,G,
"LINESTRING (16.2864568363501 48.1369058962355,16.2910819233233 48.1402180796917,16.2921922773501 48.1426545001132,16.2928008822978 48.1437175755285,16.2939393690886 48.1452321388398,16.2948243418545 48.1456536300307,16.2967685844 48.1460900907916)",1963725,1293.82,E,
"LINESTRING (16.3831343630069 48.2873834393356,16.3826250669731 48.287013733351,16.3818995769281 48.2865611329278,16.3813457924963 48.286115985035,16.380958773803 48.2859623419874)",1963726,227.3,E,
"LINESTRING (16.4903697453207 48.175299197397,16.4919498689365 48.1763542365744)",1963727,,B,
"LINESTRING (16.4809688581069 48.2581255765354,16.4773573710922 48.2515091790908)",1963728,783.07,E,
"LINESTRING (16.3550163606802 48.2510901835601,16.3550985086241 48.2512409420383,16.3551215130915 48.25187268198,16.3549635493786 48.2538507045023)",1963729,308.37,E,
"LINESTRING (16.3089427908403 48.1895751894618,16.3096321272159 48.1896076964529,16.3116034001564 48.1897978726375,16.3128131442398 48.1897132416133,16.3149632721275 48.1902613015348)",1963730,460.99,E,
"LINESTRING (16.3118386748001 48.1915383480541,16.3116034001564 48.1897978726375)",1963731,648.63,E,
"LINESTRING (16.5129078528962 48.1641341426337,16.5296672273178 48.1561777148031)",1963732,1528.8,E,
"LINESTRING (16.3800379297349 48.1403813415849,16.3793811766777 48.1393280357473,16.3786245521398 48.1394904037993,16.3781201221151 48.1395851396232,16.3775550895549 48.1396056039041,16.3774743576057 48.1395921267895,16.3773025937913 48.1393017857813,16.3767408627637 48.1382404391148)",1963733,433.27,E,
"LINESTRING (16.2829760279849 48.1345033570547,16.2830706827627 48.1345959692054,16.28314809825 48.1346790098167)",1963734,23.36,G,
"LINESTRING (16.3567312701563 48.235857376653,16.3564581794776 48.2348781240064,16.3560907632736 48.2334003131515,16.3561007664583 48.2326780501656)",1963735,357.65,E,
"LINESTRING (16.3855972681633 48.1947043873522,16.3850717340661 48.1949297086034,16.382785971894 48.195852701677,16.3808482474009 48.1968395785349,16.3795659367051 48.1974008299853,16.3778948886425 48.1979859960592,16.3772008720839 48.1983816759598,16.3769257237359 48.1987800105647,16.3768038045525 48.1989177221995)",1963736,814.58,E,
"LINESTRING (16.3582061110478 48.1550368559222,16.3597891066082 48.1573369080115,16.3612583008475 48.1605205967683,16.3618728728929 48.1621035331893,16.3626829097475 48.1631388932034,16.3628675992654 48.1636064601303)",1963737,1017.64,G,
"LINESTRING (16.3375699912237 48.172751627676,16.3376508620778 48.1742861067899,16.3379755702443 48.1743021973055)",1963738,201.99,E,
"LINESTRING (16.331160846077 48.1801827732154,16.3312043003727 48.1812771499923)",1963739,121.73,E,
"LINESTRING (16.3591591978599 48.1796977343261,16.3590890161143 48.1800426769279)",1963740,38.71,B,
"LINESTRING (16.3586638622036 48.1809554837577,16.3581792274459 48.1815279071386)",1963741,,B,
"LINESTRING (16.4729241169532 48.2746818015001,16.4730977142966 48.2747931922685,16.4747608775494 48.2752156079503,16.4749197594121 48.275231356609)",1963742,161.88,G,
"LINESTRING (16.4546730051955 48.1604588688269,16.4550164543871 48.1603992375134,16.4575127677669 48.1602077010297)",1963743,213.33,G,
"LINESTRING (16.4479736878116 48.2663913038985,16.4484483261518 48.2663536474992,16.4503296675108 48.2662059340758,16.4514900231278 48.2660688932825,16.4524035922164 48.265912825487)",1963744,333.61,G,
"LINESTRING (16.4309940959926 48.2664333398969,16.4315356445258 48.266347232315,16.432618107748 48.2658418891934,16.4333444595241 48.2654891208267,16.4338705426653 48.2651038345051)",1963745,264.05,G,
"LINESTRING (16.399044942082 48.2600120821631,16.4007757975941 48.262886504054,16.4021344175887 48.2650413601111)",1963746,604.47,G,
"LINESTRING (16.3996407653517 48.2577791840532,16.3981163170508 48.2584697809135)",1963747,136.78,G,
"LINESTRING (16.3978117007083 48.2580832845872,16.3981163170508 48.2584697809135)",1963748,48.57,G,
"LINESTRING (16.3981163170508 48.2584697809135,16.399044942082 48.2600120821631)",1963749,184.84,G,
